ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
89	-699,155	3208,62	712	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
90	-650,315	3210,24	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
91	-605,155	3208,62	712,183	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
92	-717,055	3053,74	712	0	0	0	6	0	0	0	models/scenery/furniture/table/library_table.mdl
93	-717,055	3024,74	706,183	0	87	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
94	-720,055	3085,74	706,183	0	267	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
95	-651,684	3057,87	706,183	0	0	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
96	-651,264	3058,38	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
97	-605,264	3055,38	712,183	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
98	-651	3210	706,183	0	0	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
99	-655	3342	706,183	0	270	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
100	-1002,52	3360,14	706,183	0	270	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
101	-1005,84	3360,14	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
102	-1108	3342,28	750,396	0	277	0	6	0	0	0	models/scenery/furniture/computer/computer_monitor.mdl
103	-1105,78	3326,43	749,848	0	0	0	6	0	0	0	models/scenery/furniture/computer/keyboard.mdl
104	-1089,06	3330,45	749,848	0	355	0	6	0	0	0	models/scenery/furniture/computer/mouse.mdl
105	-1070,21	3337,07	750,848	0	270	0	6	0	0	0	models/scenery/furniture/computer/computer_case.mdl
106	-1095	3310,28	706,183	0	89	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
107	-906,72	3438,96	744,848	0	152	0	6	0	0	0	models/scenery/furniture/computer/computer_case.mdl
108	-894,04	3462,8	744,396	0	152	0	6	0	0	0	models/scenery/furniture/computer/computer_monitor.mdl
109	-918	3479	737,848	0	260,5	0	6	0	0	0	models/scenery/furniture/computer/keyboard.mdl
110	-924,92	3462,23	737,848	0	256	0	6	0	0	0	models/scenery/furniture/computer/mouse.mdl
111	-951	3476	712,183	0	270,5	0	6	0	0	0	models/scenery/furniture/chair/office_chair.mdl
112	-997,52	3240,9	706,183	0	0	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
113	-996,84	3241,14	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
114	-1006,05	3054,74	712	0	180	0	6	0	0	0	models/scenery/furniture/table/library_table.mdl
115	-1071,84	3050,1	809	0	193	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
116	-1071,42	3050,61	706,183	0	180	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
117	-1117,84	3053,1	712,183	0	180	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
118	-1006,05	3083,74	706,183	0	267	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
119	-1003,05	3022,74	706,183	0	87	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
120	-962	3053	706,183	0	207	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
121	1290	3286	789	0	180	0	6	0	0	0	models/scenery/structural/gio_statue/gio_statue.mdl
122	1297	3766	756	0	180	0	6	0	0	0	models/scenery/structural/gio_bust_one/bust03.mdl
123	916	3024	739,322	0	272,5	0	6	0	0	0	models/scenery/theater/stage_stuff_1.mdl
124	315	1604	444,574	0	0	0	6	0	0	0	models/scenery/plants/plantmotel/plantmotel.mdl
125	1175,4	3036,9	763	0	270	0	6	0	0	0	models/scenery/furniture/metalshelving/metalshelfa.mdl
126	1105,4	3036,9	763	0	270	0	6	0	0	0	models/scenery/furniture/metalshelving/metalshelfb.mdl
127	-129	2725	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
128	-65	2725	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
129	-1,0166	2725,25	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
130	62,9834	2725,25	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
131	191,017	2724,75	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
132	127,017	2724,75	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
133	319,017	2725,25	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
134	255,017	2725,25	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
135	447	2726	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
136	383	2726	1093	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
137	865,178	2903,62	712,222	0	176,5	0	6	0	0	0	models/scenery/misc/deskoffice/desk.mdl
138	881,178	2915,62	712,222	0	357,5	0	6	0	0	0	models/scenery/misc/chairoffice/chairoffice.mdl
139	513	938	37	0	90	0	6	0	0	0	models/scenery/structural/warehouse/boxesa.mdl
140	1018,07	1072,59	37	0	0	0	6	0	0	0	models/scenery/structural/warehouse/boxesb.mdl
141	912	1093	37	0	90	0	6	0	0	0	models/scenery/structural/warehouse/boxesd.mdl
142	1267	1339	87	0	270	0	6	0	0	0	models/scenery/structural/oilfield/pipee.mdl
143	0	0	0	0	0	0	0	0	0	0	models/scenery/furniture/computer/keyboard.mdl
